# Startup Sentinel RMS License Manager v8.6.0.0054 Tue May 16 06:17:28 2017  1494926248 Win64 0 3520
2 2 MTg3ODY= Wed May 17 05:27:09 2017  1495009629 SolarLocalProject v1.0 0 1 0 MicroFocus Win64 8.6.0.0054 1 - - - - - - 0 - - - MQ== 191520 Njg1MjM3
2 2 MTg3ODY= Wed May 17 05:27:09 2017  1495009629 SolarNativeChecker v1.0 0 1 0 MicroFocus Win64 8.6.0.0054 1 - - - - - - 0 - - - Mg== 837554 MTAyOTA3NA==
2 2 MTg3ODY= Wed May 17 05:27:09 2017  1495009629 SolarNativeRuntime v1.0 0 1 0 MicroFocus Win64 8.6.0.0054 1 - - - - - - 0 - - - Mw== 334497 MTE3MjA1MQ==
2 2 MTg3ODY= Wed May 17 05:27:17 2017  1495009637 IMTK-Development v6.0 0 1 0 MicroFocus Win64 8.6.0.0054 1 - - - - - - 0 - - - NA== 1015889 MTM1MDM4Ng==
2 2 MTg3ODY= Wed May 17 09:33:45 2017  1495009689 SolarNativeChecker v1.0 2 0 60 MicroFocus Win64 8.6.0.0054 1 - - - - - - 0 - - - NQ== 1502887 MjUxODc3Ng==
2 2 MTg3ODY= Wed May 17 09:33:46 2017  1495024426 SolarVisualStudio2010 v1.0 0 1 0 MicroFocus Win64 8.6.0.0054 1 - - - - - - 0 - - - Ng== 1045437 MjU0ODMyNA==
2 2 MTg3ODY= Wed May 17 09:33:46 2017  1495009929 SolarNativeRuntime v1.0 2 0 300 MicroFocus Win64 8.6.0.0054 1 - - - - - - 0 - - - Nw== 2276078 MzMyMTUxNQ==
2 2 MTg3ODY= Wed May 17 13:10:20 2017  1495009929 SolarLocalProject v1.0 2 0 300 MicroFocus Win64 8.6.0.0054 1 - - - - - - 0 - - - OA== 674891 Mjk1MDk2OQ==
2 2 MTg3ODY= Thu May 18 08:16:19 2017  1495024726 SolarVisualStudio2010 v1.0 2 0 300 MicroFocus Win64 8.6.0.0054 1 - - - - - - 0 - - - OQ== 876080 MTU1MDk3MQ==
2 2 MTg3ODY= Wed Apr 11 14:58:37 2018  1495009937 IMTK-Development v6.0 2 0 300 MicroFocus Win64 8.6.0.0054 1 - - - - - - 0 - - - MTA= 1197393 MjA3MzQ3Mw==
2 2 MTg3ODY= Wed Apr 11 14:58:38 2018  1495007861 SOADevelopment v6.0 2 0 300 SYSTEM Win64 8.6.0.0054 1 - - - - - - 0 - - - MTE= 184474 MTM4MTg2Nw==
# Startup Sentinel RMS License Manager v8.6.0.0054 Wed Apr 11 15:43:56 2018  1523472236 Win64 5 1204
